FID,Box,x,y,adj,Species,number,Grid ref,Lat,Lng,NEAR_FID,NEAR_DIST,Bearing
122,B214,447609,207799,150,G,214,SP4760907799,51.766853,-1.3114988,5711,76.60521819,140
123,B215,447637,207797,160,G,215,SP4763707797,51.766832,-1.3110934,5671,50.66841387,140
124,B216,447664,207777,30,G,216,SP4766407777,51.76665,-1.3107049,5671,22.7002572,260
125,B217,447752,207833,0,G,217,SP4775207833,51.767146,-1.3094221,5668,28.30671435,250
126,B218,447706,207764,30,G,218,SP4770607764,51.76653,-1.3100981,5671,27.97507859,160
127,B219,447606,207583,0,G,219,SP4760607583,51.764911,-1.3115718,5682,33.8454455,30
128,B22,447950,207798,0,G,22,SP4795007798,51.766815,-1.3065579,5609,8.691165873,250
129,B220,447505,207509,320,G,220,SP4750507509,51.764254,-1.3130454,5699,14.29216366,330
130,B221,447558,207345,200,G,221,SP4755807345,51.762776,-1.3122998,0,27.50626822,230
131,B222,447688,207389,330,G,222,SP4768807389,51.76316,-1.3104103,5724,32.05935986,320
132,B223,447712,207511,0,G,223,SP4771207511,51.764255,-1.3100458,5681,16.47099978,180
133,B224,447751,207896,0,G,224,SP4775107896,51.767713,-1.309428,5667,38.98335189,260
134,B225,447797,207942,240,G,225,SP4779707942,51.768122,-1.3087551,5667,32.22196535,30
135,B226,447841,208004,0,G,226,SP4784108004,51.768676,-1.308109,5674,24.48759403,320
136,B227,447764,208101,230,G,227,SP4776408101,51.769555,-1.3092115,5742,6.026537093,10
137,B228,447920,207884,190,G,228,SP4792007884,51.767591,-1.3069808,5665,7.00590971,210
138,B229,447884,207857,320,G,229,SP4788407857,51.767351,-1.3075062,5662,36.66299542,130
139,B23,447872,207891,0,G,23,SP4787207891,51.767658,-1.3076754,5665,45.56650402,70
140,B24,447851,207819,0,G,24,SP4785107819,51.767012,-1.3079895,5661,13.35125428,280
141,B25,447848,207782,0,G,25,SP4784807782,51.76668,-1.3080381,5659,22.74840062,140
142,B26,447794,207786,0,G,26,SP4779407786,51.76672,-1.30882,5658,33.6644359,300
143,B27,447788,207750,180,G,27,SP4778807750,51.766397,-1.3089119,5658,7.184590187,100
144,B28,447746,207697,70,G,28,SP4774607697,51.765924,-1.3095277,5657,10.33369453,320
145,B29,447721,207712,0,G,29,SP4772107712,51.766061,-1.3098879,5657,22.2383335,140
146,B3,447846,207530,0,G,3,SP4784607530,51.764414,-1.3081017,5647,1.261766046,210
147,B30,447700,207702,5,G,30,SP4770007702,51.765973,-1.3101936,5656,33.69118713,150
148,B31,447708,207602,200,G,31,SP4770807602,51.765073,-1.3100913,5639,38.95969253,180
149,B32,447672,207613,180,G,32,SP4767207613,51.765175,-1.3106114,5682,39.62918519,160
150,B33,447657,207559,230,G,33,SP4765707559,51.764691,-1.3108362,5682,37.13897125,170
151,B34,447691,207546,250,G,34,SP4769107546,51.764571,-1.3103453,5679,10.01106841,0
152,B35,447669,207578,230,G,35,SP4766907578,51.764861,-1.3106597,5682,33.03284176,340
